Org,Email,Alternate Email,Helpful links,Notes
Best Friends Animal Society,privacy@bestfriends.org,good site on Do Not Call list,,
Beyond Pesticides,info@beyondpesticides.org,,,
Big Brothers Big Sisters of America,bigbrothersbigsisters@bbbs.org,,,
Blinded Veterans Association (BVA),bva@bva.org,,,
Born Free USA,webmaster@bornfreeusa.org,Custom form at Privacy Policy page,,
Bowery Residents' Committee (BRC),info@brc.org,,,
Boy Scouts of America,privacy@scouting.org,,,
Boys and Girls Clubs of America (BGCA),donor_relations@bgca.org,,,
Brain and Behavior Research Foundation,info@bbrfoundation.org,,,
Bread for the World / Bread for the World Institute,memberservices@bread.org,,,
Breast Cancer Research Foundation,digital@bcrf.org,,,
BreastCancer.org,privacy@breastcancer.org,https://www.breastcancer.org/contact,,
Bright Focus Foundation,info@brightfocus.org,https://support.brightfocus.org/Default.aspx?tsid=13897&_ga=2.48874342.1369900069.1672177580-1156909813.1672177580,,
Brother's Brother Foundation,mail@brothersbrother.org,,,
Building Educated Leaders for Life (BELL),,Custom form only; no 'here' links - could report,,
Cambodian Children's Fund (CCF),info@cambodianchildrensfund.org,,,
Camp Fire,info@campfire.org,,,
Cancer and Careers,cancerandcareers@cew.org,,,
Cancer Research Institute (CRI),data@cancerresearch.org,,,
CancerCare,info@cancercare.org,,,
Canine Companions for Independence,customerservice@advanceonline.com,,,
Carbon Fund (ClimeCo),info@carbonfund.org,,,
Care,info@care.org,,,
CaringBridge,customercare@caringbridge.org,,,
Catalyst,dataprivacy@catalyst.org,,,
Catholic Charities USA,webmaster@catholiccharitiesusa.org,info@catholiccharitiesusa.org,,
Catholic Medical Missions Board (CMMB),info@cmmb.org,,,
Catholic Relief Services,donorservices@crs.org,,,
Cedars Homes for Children,INFO@CEDARSKIDS.ORG,https://cedarskids.org/who-we-are/contact-us.html,,
Center for Biological Diversity,membership@biologicaldiversity.org,,,
Center for Community Change,webmaster@communitychange.org,,,
Center for Community Change,webmaster@communitychange.org,,,
Center for Constitutional Rights (CCR),,Custom form only,,
Chesapeake Bay Foundation (CBF),member@cbf.org,,,
Child Find of America,information@childfindofamerica.org,https://childfindofamerica.org/contact/,,
Child Welfare League of America,cwla@cwla.org,,,
ChildFund International,questions@childfund.org,,,
Children International,Privacy@children.org,,,
Children's Cancer and Blood Foundation,info@childrenscbf.org,,,
Children's Cancer Research Fund,contact@childrenscancer.org,,,
Children's Defense Fund (CDF),cdfinfo@childrensdefense.org,,,
Children's Disaster Services - The Church of the Brethren,cobweb@brethren.org,,,
Children's Hunger Fund,info@childrenshungerfund.org,,,
Christian Appalachian Project,capinfo@chrisapp.org,,,
Christian Relief Services,info@christianrelief.org,Don't expressly say you can opt out via email,,
Christopher and Dana Reeve Foundation,infospecialist@ChristopherReeve.org,information@christopherreeve.org,,
Citizens Against Government Waste (CAGW),info@cagw.org,,,
City Harvest,donorservices@cityharvest.org,,,
City of Hope/Beckman Research Institute,,Custom form only,,
Coalition for the Homeless,webmaster@cfthomeless.org,info@cfthomeless.org,,
Coalition to Stop Gun Violence (CSGV),csgv@csgv.org,,,
Committee for Missing Children,,Custom form only,,
Committee to Protect Journalists,info@cpj.org,,,
Common Cause,grassroots@commoncause.org,,,
Compassion International,socialmedia@compassion.com,https://www.compassion.com/contact/,,
Coral Reef Alliance,savecoralreefs@coral.org,,,
Cousteau Society,communication@cousteau.org,,,
Covenant House,info@covenanthouse.org,,,
CURE International,info@cure.org,,,
Cystic Fibrosis Foundation (CFF),privacy@cff.org,,,
Dedication and Everlasting Love To Animals Rescue (DELTA),contact@deltarescue.org,,,
Defenders of Wildlife (DW),memberservices@defenders.org,,,
Dian Fossey Gorilla Fund International,info@gorillafund.org,,,
Direct Relief International,,Custom form only,,
Disabled American Veterans Charitable Service Trust,cst@dav.org,,,
Doctors of the World,info@doctorsoftheworld.org,,,
"Doctors Without Borders/Médecins Sans Frontières (MSF) USA, Inc.",donations@newyork.msf.org,,,
Dress for Success,privacy@dressforsuccess.org,,,
Earth Island Institute,data@earthisland.org,,,
Earth Policy Institute,epi@earthpolicy.org,,,
Earth-Based Institute,info@earthbasedinstitute.org,,,
Earthjustice,info@earthjustice.org,,,
Easter Seals,info@easterseals.com,https://www.easterseals.com/about-us/contact-us/,,
Emergency Nutrition Network (ENN),office@ennonline.net,,,
Environmental Defense Fund,members@edf.org,,,
Epilepsy Foundation (EFA),contactus@efa.org,,,
Equality Now,supporters@equalitynow.org,,,
Family Care International,privacy@skenzo.com,Not sure about this...,,
Farm Aid,support@farmaid.org,,,
Farm Sanctuary,info@farmsanctuary.org,,,
Farmers and Hunters Feeding the Hungry (FHFH),staff@fhfh.org,,https://feedingthehungry.org/contact/,
Feed My People,Info@fmpstl.org,,,
Feed the Children,info@feedthechildren.org,,,
Feeding America,escalations@feedingamerica.org,,,
Finca,info@FINCA.org,,,
Firefighters' Charitable Foundation (FFCF),ffcf@ffcf.org,,,
Food Bank for New York City,donorservices@foodbanknyc.org,,,
Food for the Hungry,donorhelp@fh.org,,,
"Friends of Animals, Inc (FoA)",contact@friendsofanimals.org,,,
Friends of the Smithsonian,membership@si.edu,,,
Girl Scouts,donorrelations@girlscouts.org,,https://www.girlscouts.org/en/footer/contact-us/customer-support.html,
Global Fund for Women,privacy@globalfundforwomen.org,,,
Government Accountability Project,info@whistleblower.org,,,
Greenpeace,info@wdc.greenpeace.org ,,,
Habitat for Humanity,publicinfo@habitat.org,,,
Habitat for Humanity,privacymanager@habitat.org,,,
Hearing Health Foundation (HHF),info@hhf.org,,,
Heifer International,remove@heifer.org,info@heifer.org,,
Heritage for the Blind (HFTB),info@hftb.org,,,
Hispanic Scholarship Fund (HFS),,Custom form only,,
Human Rights Watch (HRW),privacy@hrw.org,,,
Humane Society Legislative Fund (HSLF),humanesociety@hslf.org,,,
Huntington's Disease Society of America (HDSA),hdsainfo@hdsa.org,,,
International Medical Corps,development@internationalmedicalcorps.org,,,
International Planned Parenthood Federation (IPPF),gdpr@ippf.org,,,
International Rescue Committee,donorservices@rescue.org,,,
Jewish Voice Ministries International,partnerservices@jewishvoice.org,,,
Jimmy Fund (Dana-Farber Cancer Institute),JimmyFundContactUs@dfci.harvard.edu,,,
Judicial Watch,privacy@judicialwatch.org,info@judicialwatch.org,,
Junior Achievement (JA),newmedia@ja.org,,,
Juvenile Diabetes Research Foundation (JDRF),privacy@jdrf.org,,,
KaBoom!,webmaster@kaboom.org,,,
Keep America Beautiful (KAB),communications@kab.org,,,
Law Enforcement Legal Defense Fund (LELDF),Info@LELDF.org,,,
League of Women Voters (LWV),development@lwv.org,membership@lwv.org,"First for exchange list, second for unsubscribe)",
Livestrong,livestrong@Livestrong.org,,,
Lupus Research Institute,info@lupusresearch.org,Creepy text saying they could decline your request,,
Lutheran World Relief (LWR),data-privacy@lwr.org,,,
Make a Wish Foundation,MAWFA@wish.org,,,
March of Dimes,donorservice@marchofdimes.org,https://www.marchofdimes.org/about-us/contact,,
Media Research Center (MRC),administrator@mrc.org,,,
Medical Teams International,info@medicalteams.org,,,
Mercy Corps,donorservices@mercycorps.org,,,
Modest Needs,privacy.policy@modestneeds.org,,,
National 4-H Council,webmaster@fourhcouncil.edu,,,
National Audubon Society,audubon@emailcustomerservice.com,,,
National Center for Missing and Exploited Children (NCMEC),legal@ncmec.org,https://www.missingkids.org/footer/contactus,,
National Children's Cancer Society (NCCS),communications@theNCCS.org,https://thenccs.org/opt-out-form/,,
National Council on Aging (NCOA),newsletters@ncoa.org,,,
National Fallen Firefighters Foundation,privacy@firehero.org,,,
National Law Enforcement Officers Memorial Fund (NLEOMF),donorservices@nleomf.org,,,
National Network to End Domestic Violence (NNEDV),NNEDV@NNEDV.org,,,
National Organization for Women (NOW),info@now.org,https://now.org/about/contact-us/,,
National Park Foundation,ask-npf@nationalparks.org,,,
National Relief Charities / Partnership with Native Americans (PWNA),info@nativepartnership.org,,,
National Resources Defense Council (NRDC),membership@nrdc.org,,,
Native American Rights Fund (NARF),eaction@narf.org,,,
North Cascades Institute,privacy@ncascades.org,,,
OASIS Institute,info@oasisnet.org,,,
Ocean Conservancy,memberservices@oceanconserancy.org,,,
OpenSecrets (formerly Center for Responsive Politics),info@crp.org,,,
Operation Smile,drelations@operationsmile.org,,,
Paralyzed Veterans of America (PVA),Info@PVA.org,,,
Performing Animal Welfare Society (PAWS),info@pawsweb.org,,,
Pet Partners,webadmin@petpartners.org,,,
Project Sunshine,info@projectsunshine.org,,,
RedRover,info@redrover.org,,,
SADD,communications@SADD.org,,,
Safina Center,admin@safinacenter.org,,,
Samaritan's Purse International Relief,dataprivacy@samaritan.org,,,
Scholarship America,data@scholarshipamerica.org,,,
Seniors Coalition,,Nothing available,,
Sierra Club,member.care@sierraclub.org,,,
Smile Train,info@smiletrain.org,,,
Society of St. Andrew,info@endhunger.org,,,
Sound Generations,info@soundgenerations.org,,,
St. Joseph's Indian School,saintjosephs@stjo.org,,,
St. Jude Children's Research Hospital,privacy@alsac.stjude.org,,,
The American Red Cross,donorsupport@redcross.org,,,
The ARC,info@thearc.org,,,
The Carter Center,info@cartercenter.org,,,
The Center for Victims of Torture (CVT),cvt@cvt.org,,,
The Elephant Sanctuary in Tennessee,privacy@elephants.com,,,
The Humane Farming Association (HFA),hfa@hfa.org,,,
The Humane Society of the United States (HSUS),humanesociety@humanesociety.org,,,
The Marine Mammal Center (TMMC),RecordUpdate@tmmc.org,,,
The National Association for the Advancement of Colored People (NAACP_,webmaster@naacpnet.org,,,
The Nature Conservancy,member@tnc.org,,,
The Salvation Army,webmaster@usn.salvationarmy.org,,,
The Sunshine Kids,info@sunshinekids.org,,,
UNHCR,USAWA@UNHCR.ORG,,,
United Spinal Association,tscott@unitedspinal.org,mquinn@unitedspinal.org,https://app.termly.io/notify/3ffa1d3c-1f6b-4835-ac08-62cb4d2b594d,
Wilderness Society,member@tws.org,,,
Wildlife Conservation Society (WCS),einfo@wcs.org,,,
Wings of Hope,info@wingsofhope.ngo,,,
WNYC,support@nypublicradio.org,,,
Women Employed,info@womenemployed.org,jmiyashita@womenemployed.org,,
World Medical Relief,info@worldmedicalrelief.org,,,
World Villages for Children,info@worldvillages.org,,,
World Wildlife Fund (WWF),membership@wwfus.org,,,
Wounded Warrior Project (WWP),wwplegal@woundedwarriorproject.org,,,
Unicef,webmaster@unicefusa.org,,,
Special Olympics Washington,sowa@sowa.org,,,
League of Conservation Voters (LCV),feedback@lcv.org,,,
